Estonia,-279345998,873621501.1,25246787742,21347957228,2.788496796,314406189.3,11.25842184,0.416999224,0,0,-11850,0,7,8,49.7,15.91744543,1.89851616,30.24486797,8.100000381,9.199999809,892561,4.300000191,17.79999924,43.29999924,79.90000153,50.29999924
Ethiopia,0,953000000,47648211133,13812126942,8.078472326,0,0,0,0,0,-60001,0,3,30,31.6,0,0.807051546,0,7.400000095,2.799999952,17578402,72.69999695,8,6.900000095,27.29999924,13.60000038
European Union,0,5.67081E+11,1.79875E+13,7.06364E+12,1.387689946,0,7.135054412,0,0,1.04563E+13,2324066,0,5.535714286,12.71428571,41.96785714,18.81384841,1.556412802,38.61746563,10.93354667,10.86757627,376695727,4.502244667,12.32760163,34.75212143,83.54704285,59.31690328
Fragile and conflict affected situations,0,16977726213,7.31558E+11,3.49256E+11,3.472378255,0,0,0,0,0,-4055505,0,4.272727273,34.15151515,53.06969697,0,3.218311747,0,9.390090064,7.273572219,185550041,0,0,0,0,0
Finland,-2466272333,-4982712791,2.6919E+11,1.07048E+11,1.475936667,11272358255,5.010861663,0,0,0,107409,0,7,8,39.9,19.92862613,1.406707013,39.08595396,7.5,8.800000191,4566126,3.799999952,9.100000381,36.20000076,88.30000305,58
Fiji,-560848583.9,158212691,4196100793,2911480395,2.909178822,941827049.7,8.667470246,2.069908996,111.8610719,0,-28720,0,5,38,31.1,0,1.384808521,0,11.69999981,6.599999905,466447,0,0,0,0,0
France,-40212921241,33551369023,2.81025E+12,8.53182E+11,0.86360693,1.45161E+11,5.818303401,0,0,2.30109E+12,331555,39.52512624,4,8,67.4,21.42856801,2.221051562,47.0306848,10.39999962,10.39999962,52117402,3,10.10000038,31.5,87.30000305,63.5
Faeroe Islands,0,0,2613458941,1492794642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20056,0,0,0,0,0
Micronesia. Fed. Sts.,-31600355.81,1892007,315725617,0,0,84343100.98,0,0.526666667,0,0,-8192,0,11,21,60,0,0,0,0,0,23173,0,0,0,0,0
Gabon,0,967532993.3,17590716232,5853448558,0.480142671,3003573244,9.2,3.208333333,12.86045401,0,5000,0,6,26,43.2,0,1.444102733,0,26.89999962,14.69999981,1430161,0,0,0,0,0
United Kingdom,-1.20215E+11,35015209366,2.7123E+12,8.68073E+11,2.554546687,1.04419E+11,6.345486375,0,0,3.08562E+12,900000,0,7,8,34.7,25.14393054,2.0964305,41.84479703,7,7.900000095,52626537,0.899999976,7.699999809,28.70000076,91,69
Georgia,-926995516.3,705357084.7,16140047012,9303346219,-0.512052075,2823383636,16.75204008,9.726617269,42.90612736,0,-296323,0,9,5,16.4,24.11828496,2.529113279,25.38093035,13.19999981,15.80000019,2392081,0,0,0,0,0
Ghana,-5685100000,3227000000,47805069495,22689841615,11.60833333,5587739324,14.72,12.35,34.92174325,4945000000,-49999,0,7,33,32.7,0,0.533396427,0,1.799999952,1.799999952,13797813,44.70000076,11.30000019,17.79999924,47.29999924,34
Guinea,-1160950000,3250000,6231725485,3402971156,11.88842377,182588508.1,0,0,0,0,-10000,0,6,57,68.3,0,3.089574429,0,1.5,1.899999976,4326514,0,0,0,0,0
Gambia. The,0,37635270.43,903779326.5,369407301.9,5.699730297,210553619.4,0,13.43583333,49.40915651,0,-13476,0,4,50,275.4,0,1.148387708,0,7.5,6.599999905,1089753,0,0,0,0,0
Guinea-Bissau,0,19639703.8,946629755.8,229594347.4,1.207125557,186251183.2,0,3.5,0,0,-10000,0,6,46,45.5,0,0,0,7.400000095,6.400000095,838981,0,0,0,0,0
Equatorial Guinea,0,1914000000,17135584685,12082600069,6.353239663,4566537503,0,3.208333333,-3.189720166,0,20000,0,6,46,47.1,0,0,0,7.300000191,6.699999809,315668,0,0,0,0,0
